GENEID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PPCS	278.7907144	-0.231846688	0.073817114	-3.140825668	0.001684723	0.41257714
LOC116964910	1.412798788	-1.787706724	0.571768253	-3.126628163	0.001768234	0.425639218
LOC116965815	6.68229907	-1.802923094	0.578218154	-3.118067261	0.001820413	0.432027482
LOC116962869	33.50904813	-0.544034251	0.175121556	-3.106609272	0.001892464	0.442889032
LOC104366696	474.6877305	-0.346870526	0.112343735	-3.087582278	0.002017919	0.465779938
DUSP15	23.62081303	-0.654553405	0.212772779	-3.07630237	0.002095852	0.476160249
PEF1	3183.816394	-0.289131537	0.094088672	-3.072968633	0.002119408	0.476160249
LOC116963125	118.9081886	-0.510116406	0.166589464	-3.062116854	0.002197776	0.484241121
LOC122154583	100.5436747	1.81604779	0.593466093	3.060070007	0.002212853	0.484241121
CCNA1	21.39119884	-0.759708006	0.248813629	-3.053321519	0.002263233	0.486437281
IBA57	497.3433775	-0.171853253	0.056326424	-3.051023686	0.002280626	0.486437281
HOOK1	1671.367083	0.359658175	0.118327798	3.039507049	0.002369657	0.492947077
LDHB	1998.272177	-0.413616202	0.136009799	-3.041076485	0.002357339	0.492947077
TPH2	598.1645205	0.479860709	0.158556081	3.026441534	0.002474507	0.508480951
MC1R	226.9166572	-0.688947512	0.229706775	-2.999247678	0.002706472	0.542905385
SLC2A12	28.83244932	-0.545884621	0.181797914	-3.002700138	0.00267596	0.542905385
LOC116959114	204.7231697	-0.392870006	0.131263711	-2.992982614	0.002762655	0.547655701
LOC116963252	1250.110555	-1.014295663	0.339362889	-2.988823165	0.002800542	0.548710777
DUSP26	25.71723752	-0.535935728	0.180061384	-2.976405697	0.002916488	0.55098569
LOC116961035	3852.873013	-0.944615671	0.317102162	-2.978900132	0.00289285	0.55098569
LOC116962611	15.28056139	-0.932162203	0.313002718	-2.978128145	0.002900147	0.55098569
LOC122153247	20.08152325	-1.241097254	0.417367062	-2.973634885	0.00294295	0.55098569
MEI1	87.97320108	-0.467704749	0.157693072	-2.965918174	0.003017808	0.558791864
CLEC16A	2347.983141	0.229091957	0.077340695	2.962114002	0.003055346	0.559593327
LOC122153364	4.420304117	-2.33675679	0.790579504	-2.955751797	0.00311908	0.565123604
LOC122152932	10.03530821	-0.819623504	0.277932604	-2.949000917	0.00318803	0.565652148
TMEM266	230.369493	-0.20732975	0.070307638	-2.948893675	0.003189137	0.565652148
SRGN	112.9335441	-0.602686068	0.206235474	-2.922320089	0.003474343	0.609819541
APAF1	786.0571367	0.231414772	0.079500384	2.910863587	0.003604313	0.611362252
EXT1	1745.687275	-0.137510443	0.047326965	-2.905541132	0.003666187	0.611362252
INPP1	193.6053047	-0.319453803	0.110057933	-2.902596783	0.003700828	0.611362252
LOC116959343	7026.854177	-0.818029785	0.280518274	-2.916137242	0.003543946	0.611362252
SEPHS1	1518.276109	0.168200572	0.05783728	2.908168781	0.003635521	0.611362252
STK32C	333.6457621	-0.490257584	0.168838994	-2.903698799	0.003687828	0.611362252
LOC104369464	246.493341	-0.354942544	0.122544473	-2.896438627	0.003774245	0.615109132
LOC116964843	4.666231352	-2.206341518	0.763221431	-2.89082752	0.003842289	0.615109132
OGFOD2	610.4283241	-0.216597583	0.07494481	-2.890094474	0.003851261	0.615109132
SLC6A17	646.1707614	-0.360116409	0.124667865	-2.888606535	0.003869529	0.615109132
ZNF648	145.5288134	-0.253065405	0.087819135	-2.881665867	0.00395579	0.622944455
GRM8	1.129253159	2.097540192	0.731956638	2.86566182	0.004161385	0.631949656
HTRA2	945.0731402	-0.305005104	0.106584543	-2.861626057	0.004214739	0.631949656
LOC116958914	7.184071557	-1.156768813	0.404208047	-2.8618154	0.004212222	0.631949656
LOC122153234	30.82229676	-0.994844895	0.347670327	-2.861460463	0.004216941	0.631949656
MLX	774.8870801	-0.413563576	0.144003376	-2.871901956	0.004080095	0.631949656
PMS1	462.4624482	0.263593297	0.092259503	2.857085606	0.004275505	0.631949656
UBE2E3	2614.22783	0.101937332	0.035650049	2.859388271	0.004244589	0.631949656
NIPSNAP1	453.0952842	-0.281191584	0.098736646	-2.847894824	0.004400947	0.641238079
SFI1	338.8750889	0.255898645	0.089886167	2.846919095	0.004414458	0.641238079
LOC104365392	137.009728	-0.722032304	0.253920523	-2.843536612	0.004461588	0.642544985
LOC104356972	6992.625536	-0.408556652	0.144005549	-2.837089633	0.004552683	0.650107688
HMGCR	5135.93778	0.21548531	0.076076015	2.832499955	0.004618557	0.653972185
USP25	7174.211395	0.21253469	0.075244238	2.824597532	0.004734004	0.664733035
DCP2	3546.147497	0.206159677	0.073381916	2.809407139	0.004963284	0.67173637
ELF5	7.292962713	1.065312913	0.378139959	2.817245014	0.004843756	0.67173637
LOC104358144	99.79332873	-0.394404752	0.140213633	-2.812884488	0.004909929	0.67173637
MRPL36	2091.621605	-0.53714481	0.190816514	-2.814980733	0.004878016	0.67173637
SHISA4	72.20654281	-0.3809576	0.135662995	-2.808117282	0.004983207	0.67173637
LOC116961182	16.97394667	-0.685366895	0.245134668	-2.795879104	0.005175876	0.681355525
PTPRT	46.136462	-0.595910606	0.213021832	-2.797415651	0.005151322	0.681355525
STAC2	72.58995662	0.326989774	0.116804401	2.799464492	0.005118745	0.681355525
COASY	3137.382721	-0.442185181	0.159041135	-2.78031958	0.005430543	0.692305977
CREB3L4	140.4681823	-0.40312674	0.145102074	-2.778228658	0.005465614	0.692305977
LOC116959615	4075.071643	-0.296845665	0.106938241	-2.775860727	0.005505579	0.692305977
LOC122153817	493.2678634	2.069583918	0.742356772	2.787856186	0.005305809	0.692305977
POLR3H	270.3746106	-0.228931942	0.082363359	-2.779536265	0.005443657	0.692305977
TSR1	2350.401533	-0.213015625	0.076604207	-2.780730119	0.005423681	0.692305977
PLAAT1	331.6656668	-0.417038676	0.150584778	-2.769461035	0.005614912	0.700824202
AMN	5.052551101	1.220744149	0.441909437	2.762430597	0.005737276	0.710831596
LOC104357704	699.4184494	-0.292021343	0.105958768	-2.755990359	0.005851472	0.719688366
RHBDL3	185.1819879	0.256875631	0.093759725	2.739722522	0.006149107	0.750814923
IL1R2	108.3571828	-0.714757541	0.261629099	-2.731949712	0.006296075	0.762566822
MED8	1198.505738	-0.218327615	0.079977196	-2.729873316	0.006335867	0.762566822
NCAM2	17.69952291	0.821107926	0.301138375	2.726679807	0.006397509	0.764524963
LOC104358736	28.5716918	-0.736083438	0.270402996	-2.722171907	0.00648544	0.768542253
LOC122153818	2394.901153	-0.340435427	0.125146456	-2.72029618	0.006522347	0.768542253
TMEM221	7.270250467	0.815979681	0.300262512	2.717554298	0.006576636	0.769557793
LOC116960384	12.16232023	-0.568238399	0.209512487	-2.712193464	0.006683957	0.771401885
TRABD	1691.823962	0.208615152	0.076911941	2.712389646	0.006680002	0.771401885
DALRD3	190.9057675	-0.190207511	0.070352668	-2.703628979	0.006858682	0.77562952
LOC122154907	1.659294316	1.601190316	0.592097449	2.704268221	0.006845501	0.77562952
SRP68	6901.383848	0.102506268	0.037887889	2.70551542	0.006819848	0.77562952
PIBF1	680.2651787	0.197190013	0.073152818	2.695590106	0.007026407	0.78261054
QPCTL	1201.557414	-0.293433769	0.109009181	-2.691826204	0.007106197	0.78261054
TTC4	686.8920925	-0.231963068	0.086137612	-2.692935903	0.007082588	0.78261054
WASHC1	1432.380129	-0.19059196	0.070792267	-2.692270883	0.007096728	0.78261054
LOC116960418	38.42016341	0.668026913	0.248876378	2.684171633	0.007270977	0.785358721
MRPS16	2096.959792	-0.562807964	0.209538398	-2.685941908	0.007232566	0.785358721
TPGS1	219.7442761	-0.222504523	0.082878859	-2.684695771	0.007259585	0.785358721
TUBGCP4	1369.963545	-0.190588522	0.07109641	-2.680705272	0.007346719	0.788485448
SEC22C	620.2185507	0.212233037	0.079301456	2.676281729	0.007444404	0.793912687
CHRNA10	10.3787332	1.33022218	0.497681983	2.672835718	0.007521307	0.797069368
ARRDC2	147.8899289	0.852319474	0.32000006	2.663497859	0.00773329	0.797473974
LOC122154019	244.7028545	0.721995013	0.270532735	2.668789834	0.007612507	0.797473974
NSUN4	794.2628354	-0.178017254	0.06686694	-2.6622611	0.007761764	0.797473974
PKD2L1	15.98825286	-1.126215669	0.422974724	-2.662607492	0.00775378	0.797473974
RGS1	8.485094192	-0.75397626	0.283109967	-2.663192214	0.007740319	0.797473974
BPHL	459.0637212	-0.448167197	0.168939512	-2.652826397	0.007982091	0.804416961
CDH18	23.56597414	0.931714127	0.3516952	2.649209103	0.00806804	0.804416961
GPT2	6060.465014	0.260287772	0.098103312	2.653200664	0.007973246	0.804416961
GTF2H3	943.0335522	0.261490888	0.098689298	2.649637738	0.008057812	0.804416961
UBALD1	2124.975211	-0.150586855	0.056695993	-2.656040528	0.007906411	0.804416961
ATP6V0C	10354.87587	-0.16484369	0.062343773	-2.644108348	0.008190643	0.811837294
AAAS	1295.282863	-0.148485356	0.094561341	-1.570254338	0.116355953	0.820289339
AACS	2149.140747	0.185929991	0.096306427	1.930608344	0.053531505	0.820289339
AADAC	21.59172076	0.388219895	0.267802973	1.449647442	0.147156859	0.820289339
AAMDC	1302.056512	-0.223467888	0.104364797	-2.141219008	0.032256381	0.820289339
AARS2	1141.729027	-0.128759833	0.083217775	-1.547263598	0.121799696	0.820289339
AASDH	1100.340993	0.181724563	0.134458376	1.351530252	0.176525636	0.820289339
ABCA7	33.78314824	0.243541938	0.16613097	1.465963502	0.14265823	0.820289339
ABCB11	6.6607197	0.371171768	0.284343365	1.305364616	0.191768721	0.820289339
ABCB5	5.454546214	0.575486415	0.364506179	1.578811141	0.114379382	0.820289339
ABCD2	588.0847781	-0.11579647	0.077358582	-1.496879425	0.134424635	0.820289339
ABHD11	365.8782729	-0.208255026	0.088133616	-2.362946567	0.018130283	0.820289339
ABHD14A	342.4180564	-0.228004098	0.146772842	-1.553448815	0.120315949	0.820289339
ABHD17A	3464.257932	-0.156371333	0.097640286	-1.60150424	0.109265282	0.820289339
ABHD8	16.83143538	0.392017363	0.233566018	1.678400681	0.093268905	0.820289339
ABI2	912.2950828	-0.092713681	0.061481683	-1.507988669	0.131557427	0.820289339
ABR	1556.142554	-0.146034369	0.092177342	-1.584276199	0.11313088	0.820289339
ABTB1	2605.491275	-0.070305637	0.041197802	-1.706538542	0.087907857	0.820289339
ABTB2	2260.661753	0.170242262	0.099191235	1.716303481	0.086106512	0.820289339
ACAA1	3755.64835	0.11320694	0.085270574	1.327620245	0.184303593	0.820289339
ACAD10	175.3038967	-0.21090502	0.142404898	-1.481023638	0.138600275	0.820289339
ACADSB	1332.715214	0.165979349	0.073121345	2.269916517	0.023212649	0.820289339
ACAN	54.97834091	-0.261067862	0.138348647	-1.887028666	0.05915647	0.820289339
ACAP2	4595.896163	0.123650459	0.068813606	1.796889689	0.072353134	0.820289339
ACE	314.0649899	-0.203560549	0.118252482	-1.721406139	0.085177151	0.820289339
ACE2	623.2877868	0.505212351	0.264825913	1.90771494	0.05642807	0.820289339
ACMSD	5.374831456	-0.649944461	0.370178568	-1.755759292	0.079129518	0.820289339
ACOT7	723.7765717	-0.248507288	0.105712209	-2.350790806	0.018733563	0.820289339
ACOT9	474.5996012	0.140866677	0.103287366	1.363832609	0.172620255	0.820289339
ACSBG1	823.011233	0.169937499	0.12606526	1.348012124	0.177654483	0.820289339
ACSBG2	963.999487	0.250883567	0.121041986	2.072698705	0.038200328	0.820289339
ACSL3	12781.65084	0.123299533	0.096826054	1.273412754	0.202871614	0.820289339
ACSL4	1462.672864	0.198834234	0.095925819	2.072791624	0.038191676	0.820289339
ACSS1	984.1151807	-0.244175644	0.146852497	-1.662727218	0.096367051	0.820289339
ACSS2	482.5957338	0.148632275	0.093558876	1.588649639	0.112139515	0.820289339
ACTG2	197.1308249	-0.250713827	0.197540798	-1.269174922	0.204378683	0.820289339
ACVRL1	469.350344	-0.163123135	0.118950906	-1.371348409	0.170266372	0.820289339
ADAL	329.3605341	-0.142388377	0.106248934	-1.340139354	0.180200044	0.820289339
ADAM10	5088.349088	0.162572917	0.089247168	1.821603092	0.068515231	0.820289339
ADAMTS1	912.2611382	-0.158952484	0.10034012	-1.584136867	0.113162576	0.820289339
ADAT1	1076.780972	0.11592732	0.087042889	1.331841368	0.182912321	0.820289339
ADCK2	329.4452674	-0.157291365	0.090808986	-1.73211234	0.083253563	0.820289339
ADCY7	1846.580606	0.15565106	0.114099266	1.364172315	0.172513339	0.820289339
ADGB	240.5743535	0.226996921	0.153487973	1.478923178	0.139160848	0.820289339
ADGRG3	5.911424588	-0.69502786	0.34875752	-1.992868453	0.046275854	0.820289339
ADGRG5	20.35543487	-0.345034468	0.206747746	-1.668866891	0.095143762	0.820289339
ADGRG6	4388.196996	0.109733933	0.083322863	1.316972662	0.187847788	0.820289339
ADGRV1	109.5624789	0.158688765	0.121345923	1.307738749	0.190961936	0.820289339
ADHFE1	469.65597	-0.15680377	0.104103582	-1.506228389	0.132008554	0.820289339
ADIPOR1	2228.049194	-0.215186782	0.107202061	-2.007300793	0.044717645	0.820289339
ADIRF	23.64044245	-0.779180911	0.358437021	-2.173829335	0.029717955	0.820289339
ADORA1	297.509709	-0.164415419	0.115487779	-1.423660759	0.154544698	0.820289339
ADRA1A	26.07393408	0.343804293	0.17786567	1.932943517	0.053243156	0.820289339
ADRB1	17.09622853	-0.366467695	0.226446039	-1.618344472	0.105588382	0.820289339
ADRM1	2288.047213	-0.113840403	0.057581696	-1.977024163	0.048038899	0.820289339
ADSL	1153.742301	-0.179443651	0.108245342	-1.657749403	0.097368058	0.820289339
AEBP2	953.1140575	0.228353255	0.139658368	1.635084661	0.102031301	0.820289339
AFF4	3706.117327	0.275527244	0.154366607	1.784888905	0.074279339	0.820289339
AFG3L2	3432.402565	0.066073837	0.045625082	1.448191092	0.147563615	0.820289339
AFMID	58.06338038	-0.173130801	0.135702246	-1.275813825	0.202021339	0.820289339
AFTPH	3575.413265	0.147544027	0.088170735	1.673390014	0.094250542	0.820289339
AGBL2	79.28860574	0.290790583	0.119169372	2.440145294	0.014681356	0.820289339
AGK	835.3324649	-0.183937607	0.08819884	-2.085487821	0.037025042	0.820289339
AGL	1028.676354	0.183807215	0.130361485	1.409980982	0.158545298	0.820289339
AGO4	2384.369763	0.135487519	0.085674098	1.581429184	0.113779939	0.820289339
AGPAT3	3334.331778	0.162806299	0.122620572	1.327724183	0.184269241	0.820289339
AGPAT4	4561.647013	-0.117163525	0.090809105	-1.290217812	0.196975044	0.820289339
AGR3	7.689466825	0.831014381	0.369628607	2.248241517	0.024560794	0.820289339
AHCY	16902.84833	-0.20048047	0.114711693	-1.747689919	0.080517735	0.820289339
AHSA1	2827.983122	-0.103175164	0.075763798	-1.361800312	0.173260913	0.820289339
AIDA	1650.028487	-0.071760955	0.045874594	-1.564285344	0.117750572	0.820289339
AIF1L	2066.840991	-0.200125242	0.122175139	-1.638019356	0.101417656	0.820289339
AIMP1	1649.117326	-0.107328524	0.07918034	-1.355494617	0.175260022	0.820289339
AIMP2	4241.990503	-0.199915671	0.146361827	-1.365900355	0.171970241	0.820289339
AK1	1752.658597	-0.191021451	0.151417919	-1.261551161	0.20711034	0.820289339
AK2	11045.07501	-0.23257838	0.123590664	-1.881844247	0.059857166	0.820289339
AKAP12	9904.314623	0.396706087	0.253269168	1.566341811	0.117268618	0.820289339
AKAP17A	602.7088016	0.199074448	0.122379052	1.626703631	0.103800057	0.820289339
AKAP6	67.97178212	0.2323709	0.173265907	1.341123044	0.179880507	0.820289339
AKIP1	492.2375123	-0.166013442	0.118854822	-1.396774981	0.162481248	0.820289339
AKIRIN2	2837.51913	-0.065231372	0.046738637	-1.395662692	0.162816094	0.820289339
AKR1D1	2407.752912	-0.454837565	0.273502688	-1.663009491	0.096310536	0.820289339
ALCAM	313.6983878	0.309636246	0.214834882	1.441275472	0.149506874	0.820289339
ALDH1L2	6635.149809	0.166997337	0.106849611	1.562919473	0.118071537	0.820289339
ALDH3B1	341.4366486	-0.226155353	0.141936171	-1.593359547	0.111079555	0.820289339
ALDH4A1	985.5989692	-0.156628168	0.073350952	-2.135325629	0.032734421	0.820289339
ALG1	1019.615488	-0.176692665	0.083043657	-2.127708149	0.033361289	0.820289339
ALG11	1068.915601	-0.191092308	0.099544294	-1.919671135	0.054899453	0.820289339
ALG12	2642.871868	-0.146993254	0.100589299	-1.461320985	0.143927373	0.820289339
ALG14	459.7025085	-0.168269052	0.113118395	-1.48754808	0.136870114	0.820289339
ALG2	914.5086613	-0.160304401	0.09179225	-1.746382732	0.080744469	0.820289339
ALG8	476.0456795	-0.106666846	0.0736695	-1.447910544	0.14764207	0.820289339
ALKBH2	103.6309138	-0.120910421	0.090588103	-1.334727368	0.181965593	0.820289339
AMDHD2	1400.139716	-0.088427056	0.053562706	-1.650907186	0.098757528	0.820289339
AMER2	148.1363152	-0.321953668	0.247122576	-1.302809614	0.192639768	0.820289339
AMH	18.49724742	0.294424527	0.214456414	1.372887487	0.169787327	0.820289339
AMIGO2	113.2822404	-0.375216844	0.16532898	-2.269516473	0.023236937	0.820289339
AMIGO3	65.07657458	-0.31515157	0.215200214	-1.464457514	0.143068983	0.820289339
AMMECR1	6159.976713	0.109242639	0.083921859	1.301718527	0.193012624	0.820289339
AMT	146.6893539	-0.230912918	0.18069767	-1.277896486	0.201285927	0.820289339
ANAPC10	608.2643447	-0.195729137	0.099723214	-1.96272392	0.049678262	0.820289339
ANAPC11	902.8139817	-0.338470264	0.225384924	-1.501743141	0.133163458	0.820289339
ANAPC15	1323.468317	-0.254333703	0.162421073	-1.565891035	0.117374129	0.820289339
ANAPC2	2297.882415	-0.112066776	0.082509615	-1.358226862	0.174391709	0.820289339
ANAPC7	787.3667942	0.102198042	0.051603321	1.980454753	0.047652453	0.820289339
ANGPT1	64.00116036	0.353249869	0.209668645	1.68480065	0.09202704	0.820289339
ANGPTL5	6.505473141	0.757742249	0.315348024	2.402876162	0.016266695	0.820289339
ANKDD1B	139.3938803	0.215851876	0.121789699	1.772332783	0.076339332	0.820289339
ANKFN1	8.489817202	-0.547572377	0.397974961	-1.375896552	0.168853663	0.820289339
ANKIB1	6025.316788	0.107936305	0.07957395	1.356427631	0.174963147	0.820289339
ANKRD24	157.7333457	-0.241466504	0.151289321	-1.596057821	0.110475885	0.820289339
ANKRD27	603.2124488	0.178697761	0.068181421	2.620915755	0.008769393	0.820289339
ANKRD34C	1.395558606	1.264726544	0.864479702	1.462991602	0.143469677	0.820289339
ANKRD35	144.7262223	-0.215574092	0.149045362	-1.446365647	0.148074672	0.820289339
ANKRD37	231.2921192	0.19865308	0.14412692	1.378320439	0.168104375	0.820289339
ANKRD39	561.4682444	-0.209262257	0.153489118	-1.363368681	0.172766347	0.820289339
ANKRD44	1935.048888	0.307361032	0.153044994	2.008305042	0.044610886	0.820289339
ANKRD50	2427.540818	0.180542293	0.11559042	1.56191398	0.118308255	0.820289339
ANKRD66	10.188865	-0.420933825	0.326703823	-1.288426384	0.197597579	0.820289339
ANO10	1578.211451	0.140096964	0.109181066	1.28316172	0.199435424	0.820289339
ANO3	1175.375346	0.41618799	0.163875951	2.539652627	0.011096262	0.820289339
ANTXRL	1301.80951	0.193710652	0.121686433	1.591883723	0.111410834	0.820289339
ANXA5	4494.824915	-0.141985634	0.099033088	-1.433719133	0.15165243	0.820289339
AP2M1	11917.72425	-0.107857478	0.05081381	-2.122601664	0.033787245	0.820289339
AP2S1	2986.276735	-0.222135842	0.133048452	-1.669586067	0.095001289	0.820289339
AP4E1	1669.167948	0.090001688	0.058194335	1.546571293	0.121966656	0.820289339
AP5Z1	1123.747505	-0.105319081	0.063624079	-1.655333674	0.097856832	0.820289339
APBA1	509.0894778	0.146101756	0.084692409	1.7250868	0.084511831	0.820289339
APBA3	546.9926941	-0.107094225	0.072090855	-1.485545218	0.137399454	0.820289339
APBB3	868.6723901	-0.191238938	0.126356605	-1.513485889	0.130156283	0.820289339
APOBEC4	8.230809028	0.517475337	0.243856802	2.122045942	0.03383388	0.820289339
APOD	11847.92765	-0.320439018	0.203161391	-1.577263362	0.114734939	0.820289339
APOLD1	33.4679618	-0.499650902	0.203398991	-2.4565063	0.014029534	0.820289339
APOO	1576.109255	-0.198166246	0.101107642	-1.959953186	0.050001262	0.820289339
APPBP2	2218.582097	0.075120686	0.053171797	1.412791949	0.157716906	0.820289339
APPL1	3738.460324	0.211335269	0.098208293	2.151908588	0.031404555	0.820289339
ARAP2	2497.699168	0.23334816	0.119388472	1.954528401	0.050638759	0.820289339
ARF6	6049.384392	0.135643979	0.065747646	2.063100158	0.039103113	0.820289339
ARFGAP2	2147.570041	-0.11946326	0.065274898	-1.830156215	0.067226583	0.820289339
ARGLU1	1396.929974	0.195138783	0.125965426	1.549145578	0.121346729	0.820289339
ARHGAP12	1654.68586	0.200700112	0.1022439	1.962954386	0.049651474	0.820289339
ARHGAP21	1454.364908	0.31154242	0.206668268	1.507451645	0.13169493	0.820289339
ARHGAP26	873.8107656	0.237105648	0.152092434	1.55895755	0.119006428	0.820289339
ARHGAP29	2506.089719	0.171488848	0.129824172	1.320931577	0.18652418	0.820289339
ARHGAP42	831.1393045	0.138165729	0.106573394	1.296437358	0.194824848	0.820289339
ARHGAP44	34.59856957	0.28186702	0.203944091	1.382079854	0.166947183	0.820289339
ARHGAP5	4051.24262	0.188290481	0.134121171	1.403883364	0.160353584	0.820289339
ARHGDIA	13508.19323	-0.095176814	0.065817103	-1.446080261	0.148154691	0.820289339
ARHGDIB	1395.922627	-0.238708657	0.113265842	-2.107507906	0.035073577	0.820289339
ARHGDIG	800.6094328	-0.229079639	0.105797396	-2.165267279	0.030367223	0.820289339
ARHGEF10	1234.537955	0.193394	0.129769107	1.49029306	0.136147196	0.820289339
ARHGEF2	525.3148436	-0.183373414	0.100038254	-1.833032932	0.066797674	0.820289339
ARHGEF26	329.5787878	0.230669916	0.157292654	1.466501518	0.142511708	0.820289339
ARHGEF33	1.908460659	0.739168781	0.530288922	1.393898214	0.163348344	0.820289339
ARID3A	513.7002003	0.150418414	0.109176463	1.377754962	0.168278956	0.820289339
ARID3C	36.54451311	0.260745932	0.198444554	1.313948545	0.188863521	0.820289339
ARID4B	1022.566032	0.267229009	0.183758124	1.454243232	0.145878883	0.820289339
ARID5A	185.1064733	-0.15529788	0.122912244	-1.263485836	0.206414634	0.820289339
