GeneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
STK32A	102.0124482	-0.911547725	0.223117025	-4.085513985	4.40E-05	0.031753092
TRMT12	410.9941009	-0.356192455	0.089696371	-3.971091044	7.15E-05	0.049502645
LOC122152587	86.76878916	-2.737773697	0.695713377	-3.935203469	8.31E-05	0.055215775
CDK15	35.03050894	-0.938452014	0.249455807	-3.761997068	0.000168562	0.0975548
FOSB	31.61662106	-1.84286264	0.487595069	-3.779494003	0.000157147	0.0975548
LOC104360559	41.02684301	-0.980792917	0.260804883	-3.760638625	0.00016948	0.0975548
RETSAT	441.6073541	-0.500713493	0.133192033	-3.759335161	0.000170365	0.0975548
ATP6V1C2	61.74850034	-1.121293826	0.300143935	-3.735853685	0.000187079	0.1035547
LOC122153333	28.80375831	-1.606039151	0.441036186	-3.641513332	0.00027104	0.145190054
TSPAN10	77.75394243	-1.060598966	0.292814033	-3.622090635	0.000292232	0.151649982
GPER1	13.87178487	-2.6667674	0.743559531	-3.586488086	0.000335161	0.168657264
LOC116965280	6.151606175	-1.345655921	0.377822583	-3.561607963	0.00036859	0.180023928
CCDC96	16.14710236	0.812712028	0.232262646	3.49910776	0.000466818	0.212600854
MAJIN	92.25098757	-0.739099077	0.211460879	-3.495204783	0.000473698	0.212600854
NR4A1	94.4619186	-0.682555172	0.194839363	-3.503168766	0.000459758	0.212600854
QPCT	821.0959665	-0.554079641	0.160145959	-3.459841545	0.000540493	0.230139293
RASSF2	294.682698	-0.362091668	0.104502075	-3.464923237	0.000530383	0.230139293
GNG2	595.7441936	-0.277922022	0.080817356	-3.43889033	0.000584104	0.242490697
GABRR1	4.383468269	1.561141372	0.45944341	3.397896975	0.00067906	0.274992057
LOC116960201	69.1214963	-1.008425649	0.297434774	-3.390409383	0.000697883	0.274992057
RAPGEF4	195.2411515	-0.52152886	0.154075635	-3.384888609	0.000712071	0.274992057
CRIP1	185.9609313	-0.444917881	0.131876037	-3.373758353	0.000741494	0.279846685
ATP6V0E2	111.6846473	-0.370031095	0.110442798	-3.350432095	0.000806856	0.297575226
PIK3R5	123.6069101	-0.436667292	0.130562773	-3.344500737	0.000824308	0.297575226
LOC116965930	1.361269473	-2.064918908	0.620926599	-3.325544294	0.000882461	0.31179029
LOC104368716	4.487717321	-1.313278568	0.398536054	-3.295256611	0.000983318	0.334309925
LOC122152847	64.09762782	-2.340158408	0.710353043	-3.29435966	0.000986462	0.334309925
KIT	1022.224479	-0.658579303	0.201484659	-3.268632493	0.001080686	0.358917327
LOC116965755	15.28456526	0.738475459	0.226943195	3.25401015	0.001137882	0.370503349
APBA2	77.4338517	-0.490690957	0.15194244	-3.229452931	0.001240273	0.381406902
EMILIN3	23.04394127	-0.929528954	0.287371034	-3.234595154	0.001218153	0.381406902
QTRT1	400.1281692	-0.337953857	0.104538599	-3.232814109	0.001225773	0.381406902
ACOX2	661.2048143	0.267690078	0.08396233	3.188216388	0.001431534	0.396721755
DUSP15	23.63995027	-0.677729266	0.213286244	-3.177557316	0.001485213	0.396721755
KCND2	74.82420255	-0.709271817	0.22256976	-3.18673937	0.001438864	0.396721755
LOC116960719	18.44852145	-0.920679045	0.289396803	-3.181372554	0.00146579	0.396721755
LOC116963125	115.8297736	-0.548757248	0.170985634	-3.209376343	0.001330233	0.396721755
LOC116964843	5.084303413	-2.34938951	0.739961451	-3.175016086	0.001498282	0.396721755
NIBAN3	177.3951838	-0.447562814	0.141225912	-3.16912675	0.001528977	0.396721755
PPCS	273.9634474	-0.239003964	0.075355708	-3.171676972	0.001515615	0.396721755
SEMA6D	2933.68885	0.139439245	0.043619234	3.196737565	0.001389913	0.396721755
VPS4B	4675.893968	0.161783825	0.050707068	3.190557652	0.001419985	0.396721755
FKBP1B	18.00286371	-0.818707072	0.259505101	-3.154878529	0.001605649	0.410206371
PTPRT	38.01154476	-0.764201087	0.243023865	-3.144551617	0.001663416	0.418525456
NEURL1	101.0806252	-0.53756864	0.171661824	-3.131556153	0.001738825	0.430969149
PEF1	3143.066931	-0.294143857	0.094061749	-3.127135738	0.001765184	0.431068338
CCNA1	20.74327022	-0.80872197	0.260165348	-3.108492265	0.001880446	0.452560594
SLC2A12	28.37799234	-0.559421594	0.181749483	-3.07798176	0.002084077	0.494402541
FAM124A	15.4896126	-1.355553406	0.442482604	-3.063517963	0.002187511	0.507783621
HOOK1	1654.087612	0.362137221	0.118942049	3.044652627	0.002329492	0.507783621
LDHB	1980.379992	-0.414053805	0.136137629	-3.041435402	0.002354531	0.507783621
LOC104366469	2.983872236	1.773286226	0.580768214	3.053345867	0.002263049	0.507783621
LOC116962626	2.669316653	1.967458914	0.6444643	3.052859428	0.002266721	0.507783621
LOC116963252	1330.611495	-0.981820698	0.322693063	-3.042583837	0.002345565	0.507783621
TPH2	591.5251408	0.482424726	0.158105931	3.051275321	0.002278715	0.507783621
STK32C	336.9180357	-0.513408882	0.169190824	-3.034496026	0.002409379	0.512950674
IBA57	486.7934413	-0.172497749	0.056965082	-3.028131344	0.002460711	0.517247704
MC1R	232.0312654	-0.684784066	0.227894329	-3.004831533	0.00265728	0.551584867
CLEC16A	2431.410289	0.236747792	0.079012133	2.996347294	0.002732351	0.553713202
LOC104366696	473.5073071	-0.334865628	0.111765735	-2.996138572	0.002734222	0.553713202
LOC116961035	3811.510706	-0.944917465	0.317482038	-2.976286383	0.002917623	0.583735442
LOC122152844	296.7129446	0.769278477	0.259356574	2.966103631	0.003015988	0.596232192
LOC104369464	243.4440063	-0.35839888	0.121767094	-2.943314716	0.003247181	0.6070058
LOC116962611	15.20408153	-0.9103574	0.309255266	-2.943708644	0.003243051	0.6070058
LOC122152378	14.72912952	0.60940348	0.206529033	2.950691586	0.003170633	0.6070058
LOC122153364	4.400451081	-2.398052994	0.814767633	-2.943235465	0.003248013	0.6070058
SRGN	112.0863488	-0.601843831	0.20451843	-2.942736414	0.003253253	0.6070058
BIN2	45.55248355	-0.542038971	0.185933107	-2.915236447	0.003554192	0.621272685
EXT1	1730.795359	-0.137111649	0.046874725	-2.925065655	0.003443836	0.621272685
LOC116959343	6859.487653	-0.813292759	0.278515705	-2.920096586	0.003499229	0.621272685
LOC122154132	4.07932653	1.312385718	0.448881558	2.923679301	0.003459209	0.621272685
MCMDC2	14.79128432	-1.418571398	0.484062478	-2.930554341	0.003383578	0.621272685
MEI1	89.40848137	-0.458539386	0.157234791	-2.9162718	0.003542418	0.621272685
ANKRD27	571.4461953	0.185190516	0.063888002	2.898674374	0.003747439	0.642447115
INPP1	190.8973146	-0.316344265	0.10970141	-2.883684575	0.003930522	0.642447115
LOC116958914	6.999929559	-1.174880203	0.407496403	-2.883167052	0.003936986	0.642447115
NIPSNAP1	447.3313478	-0.285443828	0.099028699	-2.88243541	0.00394614	0.642447115
PMS1	456.3912708	0.267860298	0.092430253	2.897972154	0.003755839	0.642447115
TIGD5	31.93100047	0.65797257	0.227551456	2.891533113	0.003833672	0.642447115
TMEM266	220.9250702	-0.206146916	0.071376558	-2.888159931	0.003875028	0.642447115
APAF1	778.1694908	0.229861679	0.079978071	2.87405879	0.004052335	0.644322456
LOC122152823	25051.27308	-0.585898125	0.203977271	-2.872369655	0.004074061	0.644322456
UBE2E3	2610.995221	0.104968389	0.036478917	2.877508366	0.004008293	0.644322456
SEPHS1	1463.627748	0.163633125	0.057121371	2.864656834	0.004174614	0.653996563
LOC104365392	172.6329855	-0.753308702	0.263985883	-2.853594649	0.004322765	0.664665126
LOC116964869	4.920258207	-1.605964533	0.562454378	-2.855279641	0.004299895	0.664665126
DUSP26	25.30889124	-0.52674002	0.184967338	-2.84774613	0.004403003	0.670791485
HMGCR	5084.89994	0.217428943	0.07646531	2.843497841	0.004462131	0.672175011
HTRA2	926.1281723	-0.29969659	0.105585107	-2.838436204	0.004533518	0.672175011
SLC6A17	638.1758273	-0.354406121	0.124758489	-2.840737532	0.004500934	0.672175011
ARRDC2	87.47370456	0.900170709	0.318663618	2.824830506	0.004730563	0.683093334
DCP2	3505.013563	0.206088482	0.072923967	2.826073382	0.004712247	0.683093334
OGFOD2	626.3393884	-0.21295875	0.075259277	-2.829667763	0.004659636	0.683093334
LOC116962203	0.958605212	-2.132841507	0.757295557	-2.816392474	0.00485663	0.687006779
MRPL36	2065.052433	-0.534592092	0.190051016	-2.812887313	0.004909885	0.687006779
NDUFA4L2	71.19901147	-0.499073068	0.17747851	-2.812019709	0.004923149	0.687006779
USP25	7122.49011	0.213043627	0.075574467	2.818989476	0.00481751	0.687006779
POLR3H	266.1438742	-0.228418147	0.081462586	-2.803963873	0.005047856	0.698539151
LOC122154907	1.693004292	1.648937955	0.588965733	2.799717984	0.005114727	0.701943442
AMN	5.11687426	1.204254903	0.431317108	2.792040659	0.005237677	0.708683316
LOC104358144	98.6185331	-0.390898516	0.140171878	-2.788708558	0.005291866	0.708683316
TMEM221	7.422258025	0.831405211	0.297876985	2.791102545	0.005252883	0.708683316
CREB3L4	135.2374303	-0.39662936	0.143682994	-2.760447487	0.005772224	0.717268954
FMN2	91.72761139	-0.49574482	0.179793917	-2.757294727	0.005828179	0.717268954
LOC104357704	692.8058458	-0.294559684	0.106768206	-2.758870792	0.005800146	0.717268954
LOC116961796	1481.508263	-0.261703376	0.094693646	-2.763684654	0.005715274	0.717268954
MED8	1189.236532	-0.220988225	0.079956202	-2.763865971	0.0057121	0.717268954
PLAAT1	314.5379666	-0.421741784	0.152671703	-2.762409636	0.005737644	0.717268954
RGS1	8.450501985	-0.780863293	0.282681789	-2.762340287	0.005738863	0.717268954
SFI1	368.2709959	0.248703614	0.090006686	2.763168218	0.005724326	0.717268954
STAC2	70.98641044	0.324553616	0.117714265	2.757130708	0.005831104	0.717268954
TSR1	2323.615056	-0.21016645	0.075555924	-2.781601205	0.005409146	0.717268954
WNT2B	191.1584386	-0.300053015	0.108108882	-2.775470533	0.005512189	0.717268954
SRP68	6828.46491	0.103400437	0.037660362	2.745603874	0.006039964	0.737497412
IL1R2	107.8716751	-0.711294554	0.259991891	-2.735833613	0.006222248	0.738047489
LOC104361316	220.2122621	-0.336920192	0.122890998	-2.741618167	0.006113737	0.738047489
LOC122153225	8.390242915	-0.751436592	0.274198101	-2.740487951	0.006134803	0.738047489
TRABD	1679.687811	0.209713326	0.076626842	2.736812851	0.006203757	0.738047489
DALRD3	196.585396	-0.199574893	0.073049647	-2.732044583	0.006294262	0.740703786
LOC122152530	3.548981901	-1.629868466	0.597532733	-2.727663904	0.006378456	0.740703786
PKD2L1	16.02839815	-1.129643194	0.414047086	-2.728296446	0.006366237	0.740703786
LOC122152575	4.547623218	-2.269773869	0.834405175	-2.720229856	0.006523655	0.74750046
SEC22C	618.3098242	0.217798318	0.080071152	2.72005974	0.006527012	0.74750046
LOC122154175	93.36361825	0.7048385	0.259431882	2.716853827	0.006590571	0.749609714
PIBF1	668.78327	0.204027397	0.075311638	2.709108467	0.006746428	0.762116893
TTC4	680.0369996	-0.231211761	0.085634718	-2.699976924	0.006934429	0.778061627
AAAS	1000.908264	-0.142827488	0.098353694	-1.452182245	0.146450938	0.812447371
AACS	2130.258201	0.188419489	0.09649418	1.952651326	0.050860925	0.812447371
AADAC	20.21098297	0.46209516	0.27185365	1.699793839	0.089169711	0.812447371
AAMDC	1290.432737	-0.22092802	0.103466353	-2.135264406	0.032739419	0.812447371
AARS2	1134.665916	-0.126000098	0.082643894	-1.524614731	0.127355221	0.812447371
ABCA7	33.47415058	0.272199078	0.17050734	1.596406808	0.110397997	0.812447371
ABCD2	582.9458744	-0.116469027	0.077832073	-1.496414302	0.134545725	0.812447371
ABHD11	361.8193718	-0.209521184	0.088012017	-2.380597473	0.017284588	0.812447371
ABHD14A	86.24053347	-0.345310206	0.15555084	-2.219918617	0.026424293	0.812447371
ABHD17A	3406.345141	-0.157767528	0.098258334	-1.605640171	0.108352994	0.812447371
ABHD8	15.31829425	0.319427477	0.243882514	1.309759653	0.190277156	0.812447371
ABI2	891.3569243	-0.096024417	0.062191954	-1.544000648	0.122588176	0.812447371
ABI3	10.5157695	-0.299292823	0.221928817	-1.348598292	0.17746603	0.812447371
ABR	1538.424422	-0.146788596	0.091519	-1.603913887	0.108733035	0.812447371
ABTB1	2572.083575	-0.072661912	0.041606318	-1.746415325	0.080738809	0.812447371
ABTB2	2237.479349	0.16906977	0.098685456	1.713218706	0.086672312	0.812447371
ACAD10	172.3124684	-0.210372829	0.143119796	-1.46990727	0.14158687	0.812447371
ACADSB	1320.651674	0.166672331	0.073002581	2.283101909	0.022424366	0.812447371
ACAN	54.34450189	-0.255531219	0.139077775	-1.837326047	0.066161777	0.812447371
ACAP2	4547.012357	0.124211432	0.069103977	1.797457073	0.072263087	0.812447371
ACE	310.779206	-0.206275621	0.117637427	-1.753486344	0.079518562	0.812447371
ACE2	625.1664052	0.504534078	0.263852151	1.912184822	0.055852492	0.812447371
ACMSD	5.278832703	-0.515848379	0.356074988	-1.448707146	0.147419384	0.812447371
ACOT7	716.8291079	-0.245243872	0.105354668	-2.327793121	0.019923092	0.812447371
ACOT9	446.6314612	0.143682522	0.107992048	1.330491679	0.183356326	0.812447371
ACSBG1	817.3118893	0.167401698	0.124504264	1.344545902	0.178771923	0.812447371
ACSBG2	955.5125236	0.249202985	0.120922997	2.0608403	0.039318278	0.812447371
ACSL3	12672.0317	0.12414131	0.097157699	1.277730039	0.20134463	0.812447371
ACSL4	1446.286072	0.20315268	0.095392333	2.129654169	0.033200175	0.812447371
ACSS1	973.451849	-0.25033635	0.148661475	-1.683935595	0.092194116	0.812447371
ACSS2	477.0068028	0.149720801	0.093724313	1.597459567	0.110163304	0.812447371
ACVR1C	4.783936988	-0.51807151	0.358591141	-1.44474152	0.148530503	0.812447371
ACVRL1	486.5124402	-0.158724172	0.119824914	-1.324634139	0.185292527	0.812447371
ADAL	271.8287086	-0.156577007	0.116085887	-1.348803126	0.17740021	0.812447371
ADAM10	5032.086889	0.164931944	0.089500365	1.842807503	0.065357121	0.812447371
ADAMTS1	892.0653618	-0.152623225	0.101550146	-1.502934581	0.132855914	0.812447371
ADAT1	1078.641644	0.113319427	0.086725236	1.306648813	0.19133201	0.812447371
ADCK2	295.597183	-0.151216281	0.089507675	-1.689422516	0.091138489	0.812447371
ADCY7	1831.295774	0.153746727	0.11366931	1.352579042	0.176190152	0.812447371
ADGB	239.3972101	0.229254586	0.155296143	1.476241342	0.139879115	0.812447371
ADGRG3	5.916085185	-0.735644665	0.357326332	-2.058747422	0.039518441	0.812447371
ADGRG5	20.71454075	-0.355045502	0.21308976	-1.666178144	0.095677938	0.812447371
ADGRG6	4461.937899	0.108304472	0.083074486	1.303703177	0.192334806	0.812447371
ADGRV1	105.4108716	0.164754615	0.124482889	1.323512136	0.185665123	0.812447371
ADHFE1	466.5682685	-0.152582216	0.104612166	-1.45855136	0.144688629	0.812447371
ADIPOR1	2241.559651	-0.199503619	0.104980854	-1.900380986	0.05738314	0.812447371
ADIRF	23.80019376	-0.776168932	0.3554917	-2.183367242	0.029008776	0.812447371
ADORA1	297.4632693	-0.156729144	0.114850465	-1.364636558	0.172367308	0.812447371
ADRA1A	25.97339493	0.343118712	0.178980179	1.9170766	0.055228201	0.812447371
ADRA2A	437.7376246	0.262754957	0.176667345	1.487286497	0.136939159	0.812447371
ADRB1	18.26481662	-0.369282903	0.223188414	-1.654579181	0.098009889	0.812447371
ADRM1	2249.031682	-0.109414798	0.05789771	-1.889794927	0.058785392	0.812447371
ADSL	1145.031038	-0.175787019	0.108399045	-1.621665752	0.104874936	0.812447371
AEBP2	927.1900863	0.241152811	0.146190109	1.649583631	0.099028125	0.812447371
AFF4	3682.524179	0.278026478	0.154583121	1.798556512	0.072088862	0.812447371
AFG3L2	3398.564584	0.064638641	0.045826237	1.410516012	0.158387372	0.812447371
AFTPH	3551.222363	0.146183547	0.087376932	1.673022203	0.094322925	0.812447371
AGBL2	81.44803625	0.2974091	0.119290782	2.493144032	0.012661747	0.812447371
AGK	829.7263789	-0.184734582	0.086270363	-2.141344659	0.032246254	0.812447371
AGL	1018.09119	0.182349611	0.128830243	1.415425497	0.156943778	0.812447371
AGO4	2377.288064	0.144560392	0.087494971	1.652213724	0.09849099	0.812447371
AGPAT3	3299.600782	0.161032575	0.121666373	1.323558601	0.185649682	0.812447371
AGPAT4	4519.300418	-0.117743327	0.090722574	-1.297839353	0.194342544	0.812447371
AGR3	7.712506483	0.860293328	0.373182517	2.305288402	0.021150427	0.812447371
AHCY	16740.94232	-0.200612412	0.114773961	-1.747891327	0.080482847	0.812447371
AHSA1	2805.27277	-0.103835185	0.075440971	-1.376376568	0.168705079	0.812447371
AIDA	1639.000157	-0.070166373	0.045283298	-1.549497858	0.121262086	0.812447371
AIF1L	2040.162848	-0.199031057	0.121710604	-1.635281161	0.101990121	0.812447371
AIMP1	1630.644517	-0.104356478	0.079043575	-1.320239856	0.186754949	0.812447371
AIMP2	4204.607747	-0.200028168	0.146520431	-1.365189597	0.172193467	0.812447371
AK1	1701.050246	-0.195324724	0.152687489	-1.27924511	0.200810755	0.812447371
AK2	8775.894066	-0.204942559	0.112220693	-1.826245719	0.067813258	0.812447371
AKAP12	9768.757469	0.397998017	0.25344911	1.570327146	0.116339022	0.812447371
AKAP17A	597.3860298	0.201061248	0.121991648	1.648155853	0.099320693	0.812447371
AKAP6	67.86716142	0.222617478	0.173039649	1.286511385	0.198264648	0.812447371
AKIP1	320.3307094	-0.165657184	0.125180337	-1.323348277	0.185719584	0.812447371
AKIRIN2	2837.747728	-0.066766767	0.046172248	-1.446036743	0.148166896	0.812447371
AKR1D1	2365.682839	-0.453565991	0.272336685	-1.665460499	0.095820918	0.812447371
ALCAM	305.5903823	0.321199936	0.214989457	1.494026458	0.135168704	0.812447371
ALDH1L2	6280.47373	0.17331738	0.110136284	1.573662852	0.115565414	0.812447371
ALDH3B1	276.8373025	-0.194499178	0.151248484	-1.285957865	0.198457767	0.812447371
ALDH4A1	972.880866	-0.159882031	0.073283036	-2.181705896	0.029131245	0.812447371
ALG1	1003.854243	-0.180517496	0.086581089	-2.084952929	0.037073574	0.812447371
ALG11	1061.247259	-0.187993859	0.098956028	-1.899771675	0.05746309	0.812447371
ALG12	2617.971828	-0.145290153	0.100850218	-1.440652837	0.149682785	0.812447371
ALG14	455.7761444	-0.163125584	0.112502035	-1.449978969	0.147064384	0.812447371
ALG2	912.737619	-0.161404855	0.092076458	-1.752943782	0.079611657	0.812447371
ALG8	470.8893662	-0.105881621	0.073920275	-1.432375899	0.152036272	0.812447371
ALKBH4	2.631360216	-1.019347308	0.619062414	-1.646598605	0.099640577	0.812447371
AMDHD2	1381.284042	-0.088379389	0.053421763	-1.654370503	0.098052256	0.812447371
AMER2	132.9370521	-0.367382993	0.269008277	-1.365694015	0.172035024	0.812447371
AMIGO2	111.735431	-0.380130347	0.164908361	-2.305100515	0.021160945	0.812447371
AMIGO3	67.26224615	-0.288840245	0.213361594	-1.353759317	0.175813177	0.812447371
AMMECR1	6206.51702	0.113267638	0.084825862	1.335296039	0.181779474	0.812447371
AMT	144.824345	-0.231786078	0.178688386	-1.297152453	0.194578737	0.812447371
ANAPC10	675.8893565	-0.19337468	0.101192998	-1.910949215	0.056011108	0.812447371
ANAPC11	887.5205047	-0.334849703	0.225782496	-1.483063161	0.138057631	0.812447371
ANAPC15	1438.833086	-0.266853166	0.161268648	-1.654711997	0.097982932	0.812447371
ANAPC2	2267.15291	-0.111955926	0.082592174	-1.355527054	0.175249695	0.812447371
ANAPC7	780.1819901	0.104274247	0.052182922	1.998244714	0.045690136	0.812447371
ANGPT1	63.38838884	0.371305135	0.20822359	1.783203983	0.074553104	0.812447371
ANGPTL5	6.492860303	0.712809888	0.32500973	2.193195535	0.028293294	0.812447371
ANKDD1B	140.4415361	0.211908088	0.120789749	1.754354897	0.079369715	0.812447371
ANKFN1	8.41051989	-0.617353776	0.394076462	-1.566583737	0.117212022	0.812447371
ANKIB1	6028.777454	0.108115968	0.078818958	1.371700047	0.170156834	0.812447371
ANKRD24	155.9140161	-0.235191665	0.153299886	-1.534193343	0.124982095	0.812447371
ANKRD34C	1.395921797	1.266828226	0.867205247	1.460817068	0.144065651	0.812447371
ANKRD35	142.6018023	-0.206323846	0.149424143	-1.380793243	0.167342542	0.812447371
ANKRD39	566.5531553	-0.217649359	0.151289795	-1.43862551	0.150256655	0.812447371
ANKRD44	1820.902676	0.307034232	0.154412153	1.988407172	0.046766676	0.812447371
ANKRD50	2410.171876	0.176695408	0.114754963	1.539762674	0.123618214	0.812447371
ANKRD66	10.09669693	-0.513867577	0.346436282	-1.483296075	0.137995765	0.812447371
ANO10	1562.555889	0.141967698	0.109380656	1.297923264	0.194313705	0.812447371
ANO3	1165.7927	0.420372089	0.163699319	2.567952582	0.010230115	0.812447371
ANTXRL	1309.096736	0.188856596	0.122074959	1.547054341	0.121850143	0.812447371
ANXA5	4450.292372	-0.141182159	0.099178196	-1.42352014	0.154585428	0.812447371
AP2M1	11778.77099	-0.107693225	0.050565849	-2.129762023	0.033191266	0.812447371
AP2S1	2942.559697	-0.217240526	0.133424752	-1.628187599	0.103485114	0.812447371
AP4E1	1663.128382	0.090277105	0.058261419	1.549517771	0.121257303	0.812447371
AP5Z1	1121.40075	-0.101622253	0.063215128	-1.607562235	0.107931089	0.812447371
APBA1	503.4849324	0.148203211	0.084920171	1.745206234	0.080948976	0.812447371
APBA3	541.8857271	-0.10414678	0.07250597	-1.436389043	0.150891669	0.812447371
APBB3	1018.310801	-0.196055095	0.126451351	-1.550438912	0.121036205	0.812447371
APELA	2.141618315	-0.650914671	0.473855351	-1.373656899	0.169548224	0.812447371
APOD	11735.77444	-0.319004609	0.202937481	-1.571935392	0.115965536	0.812447371
APOLD1	33.24800321	-0.498849425	0.204731152	-2.436607327	0.014825769	0.812447371
APOO	1564.714745	-0.196420428	0.100953051	-1.945661141	0.051695457	0.812447371
APPBP2	2146.852837	0.074889348	0.054763027	1.367516606	0.171463436	0.812447371
APPL1	3697.930741	0.211989943	0.098379861	2.154810342	0.031176679	0.812447371
AQR	3665.450915	0.07193958	0.056576973	1.271534608	0.203538524	0.812447371
ARAP2	2466.289115	0.232678715	0.119643102	1.944773333	0.051802265	0.812447371
ARF6	5945.685291	0.138422212	0.066477488	2.082241911	0.037320379	0.812447371
ARFGAP2	2116.432321	-0.115593125	0.06383984	-1.810673788	0.070191363	0.812447371
ARGLU1	1286.768483	0.204564464	0.13396639	1.526983473	0.126765121	0.812447371
ARHGAP12	1648.012518	0.2076892	0.1020605	2.034961611	0.041854736	0.812447371
ARHGAP21	1442.498751	0.313020542	0.205850669	1.520619504	0.128355349	0.812447371
ARHGAP26	870.5961844	0.238483213	0.153411962	1.554528153	0.120058487	0.812447371
ARHGAP29	2484.993121	0.171580614	0.129319408	1.326797088	0.184575814	0.812447371
ARHGAP35	2026.956977	0.249890019	0.195027838	1.281304356	0.200086784	0.812447371
ARHGAP42	846.5961127	0.137627478	0.10672961	1.289496683	0.197225469	0.812447371
ARHGAP5	4012.56563	0.188678167	0.133613893	1.412114887	0.157916136	0.812447371
ARHGDIA	13346.91085	-0.093608478	0.065848551	-1.42157234	0.155150439	0.812447371
ARHGDIB	1370.135132	-0.236332924	0.113353326	-2.084922706	0.037076317	0.812447371
ARHGDIG	785.1784034	-0.234840898	0.104855358	-2.239665217	0.025112665	0.812447371
ARHGEF10	1183.879512	0.210836176	0.133718073	1.576721619	0.114859594	0.812447371
ARHGEF2	425.9670397	-0.210770907	0.101637716	-2.073746976	0.038102816	0.812447371
ARHGEF26	326.8847305	0.233837691	0.155606774	1.502747504	0.132904168	0.812447371
ARHGEF33	3.210363493	0.766111792	0.489879815	1.563877034	0.117846449	0.812447371
ARHGEF4	945.7462705	0.284933915	0.223632713	1.274115542	0.202622471	0.812447371
ARID4B	1007.249568	0.271894906	0.185402248	1.466513536	0.142508436	0.812447371
ARID5A	183.5755439	-0.166950741	0.122613773	-1.361598591	0.1733246	0.812447371
ARIH2	2523.019338	-0.078427995	0.054349054	-1.443042508	0.149008497	0.812447371
ARL13B	1263.312819	0.150867711	0.078050806	1.93294238	0.053243296	0.812447371
ARL16	768.3442375	-0.296627893	0.162638566	-1.823847203	0.068175175	0.812447371
ARL3	3153.218838	-0.069282828	0.045234039	-1.531652471	0.125608217	0.812447371
ARMC3	7.895277465	-0.416113856	0.252344914	-1.648988476	0.099149996	0.812447371
ARMC6	1485.12822	-0.10052839	0.072625345	-1.384205338	0.166295589	0.812447371
ARMH1	81.23676064	-0.404865223	0.232498262	-1.741368814	0.081618951	0.812447371
ARMT1	3315.255644	0.199761796	0.092978492	2.148473179	0.031676185	0.812447371
ARPC1B	1060.109699	-0.144833226	0.101235122	-1.430661838	0.152527155	0.812447371
ARPC2	9425.606125	-0.097486949	0.062225071	-1.566682809	0.117188851	0.812447371
ARPC3	5157.056869	-0.067306842	0.045852971	-1.467883988	0.142135738	0.812447371
ARPC4	4321.088317	-0.222022789	0.139561284	-1.590862325	0.111640563	0.812447371
ARPC5L	4103.254147	-0.138543892	0.103628264	-1.336931513	0.181244993	0.812447371
ARRDC3	6333.270121	0.243299187	0.11328269	2.147717258	0.031736224	0.812447371
ARRDC4	1740.66401	0.211925481	0.134418153	1.576613551	0.114884473	0.812447371
ARSK	890.2127415	0.16959306	0.129083611	1.313823337	0.188905662	0.812447371
ART4	5.631918544	-0.685591854	0.407260521	-1.683423312	0.092293174	0.812447371
ASAP2	992.5368089	0.12841912	0.089881618	1.428758438	0.153073675	0.812447371
ASB13	408.4889649	-0.112366945	0.083545403	-1.344980579	0.178631506	0.812447371
ASB6	615.8778676	-0.145394931	0.071924338	-2.021498363	0.043228202	0.812447371
